st	date	lat	long	site_depth	depth	depth(m)	T	S	O2ml/l	?2%	Alk(mg-ekvl)	PO4然	Si 然	NO3然	NO2然
5230.00	15.09.2015	76.77	125.83	71.00	0.00	-71.00	3.01	27.14	7.74	98.60	2.03	0.14	11.74	1.23	0.00
5230.00	42263.00	76.77	125.83	71.00	5.00	-66.00	2.98	27.38	7.32	93.25	2.05	0.11	10.63	2.05	0.00
5230.00	42264.00	76.77	125.83	71.00	9.00	-62.00	2.72	29.16	7.27	93.13	2.11	0.10	5.07	0.23	0.00
5230.00	42265.00	76.77	125.83	71.00	20.00	-51.00	1.09	32.46	7.43	93.32	2.25	0.16	2.61	1.33	0.05
5230.00	42266.00	76.77	125.83	71.00	40.00	-31.00	-1.65	33.83	6.82	80.37	2.32	0.37	7.98	5.88	0.03
5230.00	42267.00	76.77	125.83	71.00	69.00	-2.00	-1.41	34.12	6.21	73.84	2.33	0.44	9.18	7.88	0.10
5231.00	42268.00	76.77	125.83	71.00	8.00	-63.00	2.89	27.84	NaN	NaN	2.12	0.26	7.17	0.35	0.01
5231.00	42269.00	76.77	125.83	71.00	26.00	-45.00	-1.19	33.43	7.27	86.47	2.31	0.57	4.97	4.37	0.10
5231.00	42270.00	76.77	125.83	71.00	45.00	-26.00	-1.57	33.90	6.38	75.38	2.32	0.63	7.82	7.20	0.06
5231.00	42271.00	76.77	125.83	71.00	55.00	-16.00	-1.29	34.00	6.23	74.23	2.32	0.67	7.02	8.06	0.09
5231.00	42272.00	76.77	125.83	71.00	60.00	-11.00	-1.26	34.18	6.22	74.21	2.32	0.51	7.32	8.34	0.10
5231.00	42273.00	76.77	125.83	71.00	69.00	-2.00	-1.29	34.18	6.10	72.73	2.32	0.54	7.98	7.11	0.11
5231.32	42274.00	76.77	125.82	71.00	-0.20	-0.20	-1.29	34.18	6.21	74.07	2.49	0.45	7.42	7.01	1.24
5231.44	42275.00	76.77	125.82	71.00	-0.10	-0.10	-1.29	34.18	6.14	73.20	2.46	0.42	7.47	8.01	0.09
5231.57	42276.00	76.77	125.82	71.00	-0.02	-0.02	-1.29	34.18	6.08	72.47	2.42	0.48	8.38	7.74	0.09
5231.70	42277.00	76.77	125.82	71.00	0.02	0.01	NaN	NaN	NaN	NaN	6.76	NaN	NaN	NaN	NaN
5231.95	42279.00	76.77	125.82	71.00	0.09	0.03	NaN	NaN	NaN	NaN	14.42	NaN	113.36	0.67	4.95
5232.20	42281.00	76.77	125.82	71.00	0.12	0.08	NaN	NaN	NaN	NaN	17.80	NaN	232.74	214.43	0.63
